lemma,pos,GEPT-level,AWL-sublist
invariably,,int,AWL-1
variability,,int,AWL-1
variably,,int,AWL-1
variance,,int,AWL-1
variant,,int,AWL-1
achievable,,int,AWL-2
achieved,,int,AWL-2
acquired,,int,AWL-2
administrate,,int,AWL-2
administratively,,int,AWL-2
affected,,int,AWL-2
affective,,int,AWL-2
affectively,,int,AWL-2
unaffected,,int,AWL-2
appropriacy,,int,AWL-2
appropriately,,int,AWL-2
inappropriacy,,int,AWL-2
inappropriately,,int,AWL-2
assisted,,int,AWL-2
unassisted,,int,AWL-2
categorize,,int,AWL-2
categorization,,int,AWL-2
categorized,,int,AWL-2
commissioned,,int,AWL-2
computable,,int,AWL-2
computation,,int,AWL-2
computational,,int,AWL-2
computed,,int,AWL-2
computerized,,int,AWL-2
concluded,,int,AWL-2
conclusive,,int,AWL-2
conclusively,,int,AWL-2
inconclusive,,int,AWL-2
inconclusively,,int,AWL-2
conducted,,int,AWL-2
constructed,,int,AWL-2
reconstruct,,int,AWL-2
reconstructed,,int,AWL-2
consumed,,int,AWL-2
credited,,int,AWL-2
culturally,,int,AWL-2
cultured,,int,AWL-2
uncultured,,int,AWL-2
designed,,int,AWL-2
distinctively,,int,AWL-2
distinctly,,int,AWL-2
indistinct,,int,AWL-2
indistinctly,,int,AWL-2
equated,,int,AWL-2
evaluated,,int,AWL-2
evaluative,,int,AWL-2
re-evaluate,,int,AWL-2
re-evaluated,,int,AWL-2
re-evaluation,,int,AWL-2
featured,,int,AWL-2
finality,,int,AWL-2
finalize,,int,AWL-2
finalized,,int,AWL-2
focused,,int,AWL-2
focussed,,int,AWL-2
refocused,,int,AWL-2
refocussed,,int,AWL-2
impacted,,int,AWL-2
uninjured,,int,AWL-2
instituted,,int,AWL-2
institutionalize,,int,AWL-2
institutionalized,,int,AWL-2
institutionally,,int,AWL-2
invested,,int,AWL-2
reinvest,,int,AWL-2
reinvested,,int,AWL-2
reinvestment,,int,AWL-2
itemization,,int,AWL-2
itemize,,int,AWL-2
itemized,,int,AWL-2
maintained,,int,AWL-2
abnormally,,int,AWL-2
normality,,int,AWL-2
normalization,,int,AWL-2
normalize,,int,AWL-2
normalized,,int,AWL-2
obtainable,,int,AWL-2
obtained,,int,AWL-2
unobtainable,,int,AWL-2
participated,,int,AWL-2
participatory,,int,AWL-2
perceived,,int,AWL-2
positively,,int,AWL-2
potentially,,int,AWL-2
purchased,,int,AWL-2
purchaser,,int,AWL-2
ranged,,int,AWL-2
regionally,,int,AWL-2
deregulated,,int,AWL-2
deregulation,,int,AWL-2
regulated,,int,AWL-2
regulatory,,int,AWL-2
unregulated,,int,AWL-2
irrelevance,,int,AWL-2
relevance,,int,AWL-2
resided,,int,AWL-2
resourced,,int,AWL-2
resourceful,,int,AWL-2
under-resourced,,int,AWL-2
unresourceful,,int,AWL-2
restrictive,,int,AWL-2
restrictively,,int,AWL-2
unrestricted,,int,AWL-2
unrestrictive,,int,AWL-2
insecurity,,int,AWL-2
secured,,int,AWL-2
securely,,int,AWL-2
sought,,int,AWL-2
selected,,int,AWL-2
selectively,,int,AWL-2
selector,,int,AWL-2
strategically,,int,AWL-2
strategist,,int,AWL-2
surveyed,,int,AWL-2
non-traditional,,int,AWL-2
traditionalist,,int,AWL-2
traditionally,,int,AWL-2
transferable,,int,AWL-2
transference,,int,AWL-2
transferred,,int,AWL-2
commented,,int,AWL-3
compensated,,int,AWL-3
compensatory,,int,AWL-3
componentry,,int,AWL-3
consented,,int,AWL-3
considerably,,int,AWL-3
constancy,,int,AWL-3
constantly,,int,AWL-3
inconstancy,,int,AWL-3
inconstantly,,int,AWL-3
constrained,,int,AWL-3
unconstrained,,int,AWL-3
contributed,,int,AWL-3
convened,,int,AWL-3
conventionally,,int,AWL-3
unconventional,,int,AWL-3
coordinate,,int,AWL-3
co-ordinated,,int,AWL-3
co-ordinates,,int,AWL-3
co-ordination,,int,AWL-3
co-ordinator,,int,AWL-3
co-ordinators,,int,AWL-3
coordinated,,int,AWL-3
coordination,,int,AWL-3
coordinator,,int,AWL-3
cored,,int,AWL-3
corresponded,,int,AWL-3
correspondingly,,int,AWL-3
deduced,,int,AWL-3
demonstrable,,int,AWL-3
demonstrably,,int,AWL-3
demonstrated,,int,AWL-3
demonstrative,,int,AWL-3
demonstratively,,int,AWL-3
documentation,,int,AWL-3
documented,,int,AWL-3
dominance,,int,AWL-3
dominated,,int,AWL-3
domination,,int,AWL-3
emphasized,,int,AWL-3
emphatically,,int,AWL-3
ensured,,int,AWL-3
excluded,,int,AWL-3
exclusionary,,int,AWL-3
exclusionist,,int,AWL-3
funded,,int,AWL-3
funder,,int,AWL-3
illustrated,,int,AWL-3
illustrative,,int,AWL-3
immigrated,,int,AWL-3
implied,,int,AWL-3
interacted,,int,AWL-3
interactive,,int,AWL-3
interactively,,int,AWL-3
justifiable,,int,AWL-3
justifiably,,int,AWL-3
unjustified,,int,AWL-3
layered,,int,AWL-3
linkage,,int,AWL-3
linked,,int,AWL-3
relocate,,int,AWL-3
relocated,,int,AWL-3
relocation,,int,AWL-3
maximize,,int,AWL-3
max,,int,AWL-3
maximization,,int,AWL-3
maximized,,int,AWL-3
negate,,int,AWL-3
negated,,int,AWL-3
negatively,,int,AWL-3
philosophically,,int,AWL-3
philosophize,,int,AWL-3
philosophized,,int,AWL-3
physically,,int,AWL-3
disproportion,,int,AWL-3
disproportionate,,int,AWL-3
disproportionately,,int,AWL-3
proportionally,,int,AWL-3
proportionate,,int,AWL-3
proportionately,,int,AWL-3
published,,int,AWL-3
unpublished,,int,AWL-3
reacted,,int,AWL-3
reactionary,,int,AWL-3
reactivate,,int,AWL-3
reactivation,,int,AWL-3
reactive,,int,AWL-3
deregister,,int,AWL-3
deregistered,,int,AWL-3
deregistration,,int,AWL-3
registered,,int,AWL-3
reliably,,int,AWL-3
reliant,,int,AWL-3
relied,,int,AWL-3
unreliable,,int,AWL-3
removable,,int,AWL-3
removed,,int,AWL-3
schematic,,int,AWL-3
schematically,,int,AWL-3
schemed,,int,AWL-3
sequenced,,int,AWL-3
sequential,,int,AWL-3
sequentially,,int,AWL-3
sexism,,int,AWL-3
sexually,,int,AWL-3
shifted,,int,AWL-3
specifiable,,int,AWL-3
specified,,int,AWL-3
unspecified,,int,AWL-3
insufficiently,,int,AWL-3
sufficiency,,int,AWL-3
sufficiently,,int,AWL-3
technically,,int,AWL-3
technologically,,int,AWL-3
invalidate,,int,AWL-3
invalidity,,int,AWL-3
validate,,int,AWL-3
validated,,int,AWL-3
validation,,int,AWL-3
validly,,int,AWL-3
accessed,,int,AWL-4
accessibility,,int,AWL-4
adequacy,,int,AWL-4
adequately,,int,AWL-4
inadequacy,,int,AWL-4
inadequately,,int,AWL-4
annually,,int,AWL-4
approximated,,int,AWL-4
approximately,,int,AWL-4
approximation,,int,AWL-4
attributable,,int,AWL-4
attributed,,int,AWL-4
attribution,,int,AWL-4
coded,,int,AWL-4
committed,,int,AWL-4
communicable,,int,AWL-4
communicated,,int,AWL-4
communicatively,,int,AWL-4
uncommunicative,,int,AWL-4
conferred,,int,AWL-4
contrasted,,int,AWL-4
contrastive,,int,AWL-4
cycled,,int,AWL-4
cyclic,,int,AWL-4
cyclical,,int,AWL-4
debatable,,int,AWL-4
debated,,int,AWL-4
dimensional,,int,AWL-4
multidimensional,,int,AWL-4
domestically,,int,AWL-4
domesticate,,int,AWL-4
domesticated,,int,AWL-4
emerged,,int,AWL-4
emergent,,int,AWL-4
erroneously,,int,AWL-4
ethnicity,,int,AWL-4
granted,,int,AWL-4
hypothesize,,int,AWL-4
hypothesized,,int,AWL-4
hypothetical,,int,AWL-4
hypothetically,,int,AWL-4
implementation,,int,AWL-4
implemented,,int,AWL-4
implicate,,int,AWL-4
implicated,,int,AWL-4
imposed,,int,AWL-4
imposition,,int,AWL-4
integrated,,int,AWL-4
internalize,,int,AWL-4
internalized,,int,AWL-4
internally,,int,AWL-4
investigated,,int,AWL-4
investigative,,int,AWL-4
labeled,,int,AWL-4
labelled,,int,AWL-4
occupancy,,int,AWL-4
occupant,,int,AWL-4
occupational,,int,AWL-4
occupied,,int,AWL-4
occupier,,int,AWL-4
paralleled,,int,AWL-4
parallelled,,int,AWL-4
unparalleled,,int,AWL-4
phased,,int,AWL-4
predictability,,int,AWL-4
predictably,,int,AWL-4
predicted,,int,AWL-4
unpredictability,,int,AWL-4
principally,,int,AWL-4
professionalism,,int,AWL-4
professionally,,int,AWL-4
projected,,int,AWL-4
promoted,,int,AWL-4
promoter,,int,AWL-4
resolved,,int,AWL-4
unresolved,,int,AWL-4
retained,,int,AWL-4
retainer,,int,AWL-4
retentive,,int,AWL-4
statistically,,int,AWL-4
stressed,,int,AWL-4
stressful,,int,AWL-4
unstressed,,int,AWL-4
subsequently,,int,AWL-4
summation,,int,AWL-4
summed,,int,AWL-4
summarization,,int,AWL-4
summarized,,int,AWL-4
undertaken,,int,AWL-4
undertook,,int,AWL-4
academia,,int,AWL-5
academically,,int,AWL-5
adjusted,,int,AWL-5
readjust,,int,AWL-5
readjusted,,int,AWL-5
readjustment,,int,AWL-5
alterable,,int,AWL-5
alteration,,int,AWL-5
altered,,int,AWL-5
unalterable,,int,AWL-5
unaltered,,int,AWL-5
amended,,int,AWL-5
incapacitate,,int,AWL-5
incapacitated,,int,AWL-5
compounded,,int,AWL-5
conflicted,,int,AWL-5
consultancy,,int,AWL-5
consultative,,int,AWL-5
consulted,,int,AWL-5
contactable,,int,AWL-5
contacted,,int,AWL-5
declined,,int,AWL-5
discretely,,int,AWL-5
discretionary,,int,AWL-5
indiscrete,,int,AWL-5
indiscretion,,int,AWL-5
drafted,,int,AWL-5
redraft,,int,AWL-5
redrafted,,int,AWL-5
enabled,,int,AWL-5
energetically,,int,AWL-5
enforced,,int,AWL-5
equivalence,,int,AWL-5
evolutionary,,int,AWL-5
evolutionist,,int,AWL-5
evolved,,int,AWL-5
expanded,,int,AWL-5
expansionism,,int,AWL-5
expansive,,int,AWL-5
exposed,,int,AWL-5
externality,,int,AWL-5
externalization,,int,AWL-5
externalize,,int,AWL-5
externalized,,int,AWL-5
externally,,int,AWL-5
facilitated,,int,AWL-5
facilitation,,int,AWL-5
facilitator,,int,AWL-5
fundamentally,,int,AWL-5
generated,,int,AWL-5
imagery,,int,AWL-5
liberalism,,int,AWL-5
liberalization,,int,AWL-5
liberalized,,int,AWL-5
liberally,,int,AWL-5
liberated,,int,AWL-5
liberator,,int,AWL-5
licence,,int,AWL-5
licensed,,int,AWL-5
unlicensed,,int,AWL-5
illogical,,int,AWL-5
illogically,,int,AWL-5
logically,,int,AWL-5
logician,,int,AWL-5
marginally,,int,AWL-5
medically,,int,AWL-5
mentally,,int,AWL-5
modification,,int,AWL-5
modified,,int,AWL-5
unmodified,,int,AWL-5
monitored,,int,AWL-5
unmonitored,,int,AWL-5
networked,,int,AWL-5
objectively,,int,AWL-5
objectivity,,int,AWL-5
orientate,,int,AWL-5
orientated,,int,AWL-5
reorient,,int,AWL-5
reorientation,,int,AWL-5
imprecise,,int,AWL-5
primacy,,int,AWL-5
psychologically,,int,AWL-5
pursued,,int,AWL-5
rejected,,int,AWL-5
stabilization,,int,AWL-5
stabilized,,int,AWL-5
unstable,,int,AWL-5
styled,,int,AWL-5
stylize,,int,AWL-5
stylized,,int,AWL-5
substituted,,int,AWL-5
sustainability,,int,AWL-5
sustainable,,int,AWL-5
sustained,,int,AWL-5
sustenance,,int,AWL-5
unsustainable,,int,AWL-5
symbolically,,int,AWL-5
symbolized,,int,AWL-5
targeted,,int,AWL-5
transited,,int,AWL-5
transitional,,int,AWL-5
transitory,,int,AWL-5

abstractly,,hi-int,AWL-6
accurately,,hi-int,AWL-6
inaccuracy,,hi-int,AWL-6
inaccurate,,hi-int,AWL-6
acknowledged,,hi-int,AWL-6
acknowledgement,,hi-int,AWL-6
aggregated,,hi-int,AWL-6
aggregation,,hi-int,AWL-6
allocated,,hi-int,AWL-6
allocation,,hi-int,AWL-6
assigned,,hi-int,AWL-6
reassign,,hi-int,AWL-6
reassigned,,hi-int,AWL-6
unassigned,,hi-int,AWL-6
attachment,,hi-int,AWL-6
unattached,,hi-int,AWL-6
authored,,hi-int,AWL-6
authorship,,hi-int,AWL-6
bonded,,hi-int,AWL-6
brevity,,hi-int,AWL-6
briefed,,hi-int,AWL-6
incapable,,hi-int,AWL-6
citation,,hi-int,AWL-6
cited,,hi-int,AWL-6
cooperate,,hi-int,AWL-6
co-operated,,hi-int,AWL-6
co-operates,,hi-int,AWL-6
co-operatively,,hi-int,AWL-6
cooperated,,hi-int,AWL-6
cooperation,,hi-int,AWL-6
cooperative,,hi-int,AWL-6
cooperatively,,hi-int,AWL-6
discriminated,,hi-int,AWL-6
displayed,,hi-int,AWL-6
diversely,,hi-int,AWL-6
diversification,,hi-int,AWL-6
diversified,,hi-int,AWL-6
edited,,hi-int,AWL-6
enhanced,,hi-int,AWL-6
enhancement,,hi-int,AWL-6
exceeded,,hi-int,AWL-6
expertly,,hi-int,AWL-6
explicitly,,hi-int,AWL-6
flexibility,,hi-int,AWL-6
inflexibility,,hi-int,AWL-6
inflexible,,hi-int,AWL-6
ignored,,hi-int,AWL-6
incorporated,,hi-int,AWL-6
incorporation,,hi-int,AWL-6
indexed,,hi-int,AWL-6
initiated,,hi-int,AWL-6
initiation,,hi-int,AWL-6
initiator,,hi-int,AWL-6
instructed,,hi-int,AWL-6
instructive,,hi-int,AWL-6
intelligently,,hi-int,AWL-6
unintelligent,,hi-int,AWL-6
lectured,,hi-int,AWL-6
migrated,,hi-int,AWL-6
migratory,,hi-int,AWL-6
ministered,,hi-int,AWL-6
motivated,,hi-int,AWL-6
unmotivated,,hi-int,AWL-6
neutrality,,hi-int,AWL-6
neutralization,,hi-int,AWL-6
neutralize,,hi-int,AWL-6
neutralized,,hi-int,AWL-6
preceded,,hi-int,AWL-6
precedence,,hi-int,AWL-6
presumed,,hi-int,AWL-6
presumption,,hi-int,AWL-6
irrational,,hi-int,AWL-6
rationalism,,hi-int,AWL-6
rationality,,hi-int,AWL-6
rationalization,,hi-int,AWL-6
rationalize,,hi-int,AWL-6
rationalized,,hi-int,AWL-6
rationally,,hi-int,AWL-6
recoverable,,hi-int,AWL-6
recovered,,hi-int,AWL-6
revealed,,hi-int,AWL-6
subsidized,,hi-int,AWL-6
taped,,hi-int,AWL-6
traceable,,hi-int,AWL-6
traced,,hi-int,AWL-6
transformed,,hi-int,AWL-6
transported,,hi-int,AWL-6
transporter,,hi-int,AWL-6
underlay,,hi-int,AWL-6
utilizer,,hi-int,AWL-6
utilization,,hi-int,AWL-6
utilized,,hi-int,AWL-6
adaptability,,hi-int,AWL-7
adaptable,,hi-int,AWL-7
adapted,,hi-int,AWL-7
adaptive,,hi-int,AWL-7
advocacy,,hi-int,AWL-7
advocated,,hi-int,AWL-7
aided,,hi-int,AWL-7
unaided,,hi-int,AWL-7
channelled,,hi-int,AWL-7
chemically,,hi-int,AWL-7
comprehensively,,hi-int,AWL-7
comprised,,hi-int,AWL-7
confirmation,,hi-int,AWL-7
confirmed,,hi-int,AWL-7
contrarily,,hi-int,AWL-7
converted,,hi-int,AWL-7
coupled,,hi-int,AWL-7
indefinitely,,hi-int,AWL-7
deniable,,hi-int,AWL-7
denied,,hi-int,AWL-7
undeniable,,hi-int,AWL-7
differentiated,,hi-int,AWL-7
differentiation,,hi-int,AWL-7
disposed,,hi-int,AWL-7
dynamically,,hi-int,AWL-7
eliminated,,hi-int,AWL-7
elimination,,hi-int,AWL-7
empirically,,hi-int,AWL-7
empiricism,,hi-int,AWL-7
equipped,,hi-int,AWL-7
extracted,,hi-int,AWL-7
extraction,,hi-int,AWL-7
filed,,hi-int,AWL-7
infinitely,,hi-int,AWL-7
globalization,,hi-int,AWL-7
globally,,hi-int,AWL-7
graded,,hi-int,AWL-7
hierarchical,,hi-int,AWL-7
identically,,hi-int,AWL-7
ideologically,,hi-int,AWL-7
inferred,,hi-int,AWL-7
innovate,,hi-int,AWL-7
innovated,,hi-int,AWL-7
innovator,,hi-int,AWL-7
inserted,,hi-int,AWL-7
insertion,,hi-int,AWL-7
intervened,,hi-int,AWL-7
isolationism,,hi-int,AWL-7
paradigm,,hi-int,AWL-7
phenomenal,,hi-int,AWL-7
prioritization,,hi-int,AWL-7
prioritize,,hi-int,AWL-7
prioritized,,hi-int,AWL-7
prohibited,,hi-int,AWL-7
prohibitive,,hi-int,AWL-7
quoted,,hi-int,AWL-7
released,,hi-int,AWL-7
irreversible,,hi-int,AWL-7
reversal,,hi-int,AWL-7
reversed,,hi-int,AWL-7
reversible,,hi-int,AWL-7
simulated,,hi-int,AWL-7
submission,,hi-int,AWL-7
submitted,,hi-int,AWL-7
successively,,hi-int,AWL-7
survived,,hi-int,AWL-7
transmitted,,hi-int,AWL-7
uniquely,,hi-int,AWL-7
invisibility,,hi-int,AWL-7
visibility,,hi-int,AWL-7
visibly,,hi-int,AWL-7
voluntarily,,hi-int,AWL-7
volunteered,,hi-int,AWL-7
abandonment,,hi-int,AWL-8
accompanied,,hi-int,AWL-8
accompaniment,,hi-int,AWL-8
unaccompanied,,hi-int,AWL-8
accumulated,,hi-int,AWL-8
unambiguously,,hi-int,AWL-8
append,,hi-int,AWL-8
appended,,hi-int,AWL-8
appreciably,,hi-int,AWL-8
appreciated,,hi-int,AWL-8
unappreciated,,hi-int,AWL-8
arbitrarily,,hi-int,AWL-8
automate,,hi-int,AWL-8
automated,,hi-int,AWL-8
automatically,,hi-int,AWL-8
biased,,hi-int,AWL-8
unbiased,,hi-int,AWL-8
charted,,hi-int,AWL-8
uncharted,,hi-int,AWL-8
clarification,,hi-int,AWL-8
clarified,,hi-int,AWL-8
complementary,,hi-int,AWL-8
complemented,,hi-int,AWL-8
conformability,,hi-int,AWL-8
conformable,,hi-int,AWL-8
conformance,,hi-int,AWL-8
conformation,,hi-int,AWL-8
conformed,,hi-int,AWL-8
conformist,,hi-int,AWL-8
conformity,,hi-int,AWL-8
non-conformist,,hi-int,AWL-8
non-conformity,,hi-int,AWL-8
nonconformist,,hi-int,AWL-8
nonconformity,,hi-int,AWL-8
contradicted,,hi-int,AWL-8
crucially,,hi-int,AWL-8
denotation,,hi-int,AWL-8
denoted,,hi-int,AWL-8
detectable,,hi-int,AWL-8
detected,,hi-int,AWL-8
detector,,hi-int,AWL-8
deviated,,hi-int,AWL-8
deviation,,hi-int,AWL-8
displaced,,hi-int,AWL-8
displacement,,hi-int,AWL-8
undefined,,hi-int,AWL-undefined
eventuality,,hi-int,AWL-8
exhibited,,hi-int,AWL-8
exploitation,,hi-int,AWL-8
exploited,,hi-int,AWL-8
fluctuated,,hi-int,AWL-8
fluctuation,,hi-int,AWL-8
highlighted,,hi-int,AWL-8
implicitly,,hi-int,AWL-8
induced,,hi-int,AWL-8
induction,,hi-int,AWL-8
inevitability,,hi-int,AWL-8
inspected,,hi-int,AWL-8
intensely,,hi-int,AWL-8
intensification,,hi-int,AWL-8
intensified,,hi-int,AWL-8
intension,,hi-int,AWL-8
intensively,,hi-int,AWL-8
manipulated,,hi-int,AWL-8
manipulation,,hi-int,AWL-8
manipulative,,hi-int,AWL-8
minimized,,hi-int,AWL-8
predominance,,hi-int,AWL-8
predominate,,hi-int,AWL-8
predominated,,hi-int,AWL-8
radically,,hi-int,AWL-8
randomly,,hi-int,AWL-8
reinforced,,hi-int,AWL-8
reinforcement,,hi-int,AWL-8
restoration,,hi-int,AWL-8
restored,,hi-int,AWL-8
revised,,hi-int,AWL-8
reschedule,,hi-int,AWL-8
rescheduled,,hi-int,AWL-8
scheduled,,hi-int,AWL-8
unscheduled,,hi-int,AWL-8
tensely,,hi-int,AWL-8
tenser,,hi-int,AWL-8
tensest,,hi-int,AWL-8
terminated,,hi-int,AWL-8
thematic,,hi-int,AWL-8
thematically,,hi-int,AWL-8
uniformity,,hi-int,AWL-8
uniformly,,hi-int,AWL-8
visualization,,hi-int,AWL-8
visualized,,hi-int,AWL-8
visually,,hi-int,AWL-8
accommodated,,hi-int,AWL-9
anticipated,,hi-int,AWL-9
unanticipated,,hi-int,AWL-9
assuredly,,hi-int,AWL-9
attainable,,hi-int,AWL-9
attained,,hi-int,AWL-9
attainment,,hi-int,AWL-9
unattainable,,hi-int,AWL-9
ceased,,hi-int,AWL-9
coherence,,hi-int,AWL-9
coherently,,hi-int,AWL-9
incoherent,,hi-int,AWL-9
incoherently,,hi-int,AWL-9
coincided,,hi-int,AWL-9
coincident,,hi-int,AWL-9
coincidental,,hi-int,AWL-9
commenced,,hi-int,AWL-9
commencement,,hi-int,AWL-9
recommenced,,hi-int,AWL-9
compatibility,,hi-int,AWL-9
incompatibility,,hi-int,AWL-9
incompatible,,hi-int,AWL-9
concurrent,,hi-int,AWL-9
concurrently,,hi-int,AWL-9
unconfined,,hi-int,AWL-9
controversially,,hi-int,AWL-9
uncontroversial,,hi-int,AWL-9
devotedly,,hi-int,AWL-9
diminished,,hi-int,AWL-9
diminution,,hi-int,AWL-9
undiminished,,hi-int,AWL-9
distorted,,hi-int,AWL-9
distortion,,hi-int,AWL-9
eroded,,hi-int,AWL-9
ethically,,hi-int,AWL-9
unethical,,hi-int,AWL-9
formatted,,hi-int,AWL-9
founded,,hi-int,AWL-9
unfounded,,hi-int,AWL-9
inherently,,hi-int,AWL-9
insightful,,hi-int,AWL-9
manually,,hi-int,AWL-9
immature,,hi-int,AWL-9
immaturity,,hi-int,AWL-9
maturation,,hi-int,AWL-9
maturational,,hi-int,AWL-9
matured,,hi-int,AWL-9
mediated,,hi-int,AWL-9
mediation,,hi-int,AWL-9
minimalist,,hi-int,AWL-9
minimalistic,,hi-int,AWL-9
minimalization,,hi-int,AWL-9
minimalize,,hi-int,AWL-9
minimalized,,hi-int,AWL-9
minimally,,hi-int,AWL-9
mutually,,hi-int,AWL-9
overlapped,,hi-int,AWL-9
passively,,hi-int,AWL-9
passivity,,hi-int,AWL-9
protocol,,hi-int,AWL-9
qualitatively,,hi-int,AWL-9
refined,,hi-int,AWL-9
refinement,,hi-int,AWL-9
unrestrained,,hi-int,AWL-9
revolutionist,,hi-int,AWL-9
revolutionize,,hi-int,AWL-9
revolutionized,,hi-int,AWL-9
rigidity,,hi-int,AWL-9
rigidly,,hi-int,AWL-9
routed,,hi-int,AWL-9
spherical,,hi-int,AWL-9
spherically,,hi-int,AWL-9
subordination,,hi-int,AWL-9
supplemented,,hi-int,AWL-9
suspended,,hi-int,AWL-9
teamed,,hi-int,AWL-9
temporarily,,hi-int,AWL-9
triggered,,hi-int,AWL-9
unified,,hi-int,AWL-9
violated,,hi-int,AWL-9
albeit,,hi-int,AWL-10
assembled,,hi-int,AWL-10
collapsed,,hi-int,AWL-10
collapsible,,hi-int,AWL-10
compilation,,hi-int,AWL-10
compiled,,hi-int,AWL-10
conceivable,,hi-int,AWL-10
conceivably,,hi-int,AWL-10
conceived,,hi-int,AWL-10
inconceivable,,hi-int,AWL-10
inconceivably,,hi-int,AWL-10
convincingly,,hi-int,AWL-10
unconvinced,,hi-int,AWL-10
encountered,,hi-int,AWL-10
enormity,,hi-int,AWL-10
enormously,,hi-int,AWL-10
inclination,,hi-int,AWL-10
intrinsically,,hi-int,AWL-10
invoke,,hi-int,AWL-10
invoked,,hi-int,AWL-10
panelled,,hi-int,AWL-10
persisted,,hi-int,AWL-10
persistently,,hi-int,AWL-10
posed,,hi-int,AWL-10
reluctance,,hi-int,AWL-10
reluctantly,,hi-int,AWL-10
