*lemma	level
exit	2
express	2
extra	2
fair	2
false	2
fancy	2
fantastic	2
fashionable	2
faucet	2
fault	2
fear	2
fee	2
feeling	2
female	2
fence	2
film	2
final	2
fit	2
flag	2
flashlight	2
flat tire	2
flight	2
flour	2
flu	2
flute	2
focus	2
fog	2
foggy	2
foolish	2
football	2
forest	2
forgive	2
form	2
formal	2
former	2
forward	2
frank	2
freedom	2
freezer	2
freezing	2
friendship	2
frighten	2
frisbee	2
furniture	2
gain	2
garage	2
gather	2
general	2
generous	2
genius	2
gentle	2
gentleman	2
geography	2
gesture	2
goal	2
gold	2
golden	2
golf	2
goodness	2
government	2
granddaughter	2
grandson	2
greedy	2
greet	2
guard	2
guest	2
guide	2
gun	2
hair dresser	2
haircut	2
hall	2
hammer	2
handkerchief	2
handle	2
hanger	2
hardly	2
heater	2
helicopter	2
hero	2
highway	2
hip	2
hippo	2
hire	2
hole	2
homesick	2
honesty	2
hop	2
horrible	2
host	2
housework	2
hug	2
human	2
humble	2
humid	2
humor	2
humorous	2
hunger	2
hunter	2
ignore	2
ill	2
imagine	2
impolite	2
importance	2
impossible	2
improve	2
include	2
income	2
increase	2
independent	2
indicate	2
influence	2
information	2
ink	2
insist	2
inspire	2
instant	2
instrument	2
intelligent	2
international	2
interrupt	2
introduce	2
invent	2
invitation	2
iron	2
jam	2
jazz	2
jealous	2
jeep	2
journalist	2
judge	2
kangaroo	2
ketchup	2
kilometer	2
kindergarten	2
kingdom	2
kitten	2
koala	2
lack	2
lady	2
lamb	2
lantern	2
latest	2
latter	2
law	2
lay	2
leaf	2
lettuce	2
lick	2
lid	2
lift	2
lightning	2
likely	2
limit	2
link	2
liquid	2
liter	2
loaf	2
local	2
lock	2
locker	2
loser	2
ma'am	2
magazine	2
magician	2
major	2
male	2
mall	2
manager	2
mango	2
manner	2
marry	2
marvelous	2
mass	2
master	2
mat	2
match	2
maximum	2
meaning	2
measure	2
mechanic	2
memory	2
men's room	2
message	2
metal	2
meter	2
method	2
microwave	2
midnight	2
minor	2
minus	2
mirror	2
mix	2
model	2
monster	2
mosquito	2
motion	2
movement	2
MRT	2
musician	2
napkin	2
narrow	2
nation	2
natural	2
naughty	2
nearly	2
necessary	2
necklace	2
needle	2
negative	2
neither	2
nephew	2
nervous	2
nest	2
net	2
nice-looking	2
niece	2
nod	2
none	2
nor	2
novel	2
nut	2
obey	2
object	2
ocean	2
offer	2
omit	2
oneself	2
onion	2
operation	2
opinion	2
ordinary	2
oven	2
overpass	2
overseas	2
over-weight	2
owner	2
ox	2
pain	2
painful	2
painter	2
pajamas	2
pale	2
pan	2
panda	2
pardon	2
parking lot	2
parrot	2
partner	2
passenger	2
path	2
patient	2
pattern	2
pause	2
peace	2
peaceful	2
pepper	2
perfect	2
period	2
personal	2
physics	2
pigeon	2
pile	2
pillow	2
pineapple	2
plain	2
platform	2
pleasant	2
pleased	2
plus	2
poem	2
poison	2
pollute	2
pollution	2
pop music	2
population	2
position	2
positive	2
potato	2
powder	2
praise	2
precious	2
president	2
pressure	2
priest	2
primary	2
prince	2
princess	2
principal	2
principle	2
print	2
printer	2
private	2
produce	2
production	2
professor	2
progress	2
project	2
promise	2
pronounce	2
protect	2
provide	2
pump	2
punish	2
purpose	2
purse	2
puzzle	2
quit	2
railroad	2
railway	2
raincoat	2
rare	2
rather	2
realize	2
receive	2
record	2
recover	2
rectangle	2
recycle	2
refuse	2
regret	2
regular	2
reject	2
remind	2
rent	2
repair	2
respect	2
responsible	2
result	2
return	2
review	2
revise	2
rob	2
role	2
roller skate	2
roller blade	2
roof	2
rub	2
rubber	2
rude	2
ruin	2
rush	2
safety	2
sailor	2
sample	2
sand	2
satisfy	2
saucer	2
scarf	2
scene	2
scenery	2
scientist	2
score	2
seafood	2
search	2
secondary	2
secret	2
section	2
seek	2
seem	2
select	2
selfish	2
semester	2
sense	2
servant	2
serve	2
shall	2
shark	2
sheet	2
shelf	2
shoot	2
shore	2
shrimp	2
shut	2
silence	2
silent	2
silly	2
silver	2
similar	2
sincere	2
single	2
sink	2
skate	2
ski	2
skill	2
skillful	2
skin	2
skinny	2
sleepy	2
slender	2
slice	2
slipper	2
snail	2
sneaker	2
sneaky	2
snowman	2
soap	2
social	2
society	2
soda	2
soft drink	2
softball	2
solve	2
soul	2
sour	2
soy sauce	2
spaghetti	2
speaker	2
speech	2
speed	2
spirit	2
spot	2
spread	2
state	2
stationery	2
steal	2
steam	2
step	2
stingy	2
stomachache	2
stone	2
storm	2
stormy	2
stove	2
straw	2
stream	2
strike	2
style	2
subway	2
succeed	2
success	2
such	2
sudden	2
suggest	2
suit	2
super	2
supper	2
support	2
survive	2
swallow	2
swan	2
sweep	2
swimsuit	2
symbol	2
system	2
table tennis	2
talent	2
talkative	2
tangerine	2
tank	2
teapot	2
tear	2
temperature	2
tent	2
term	2
terrific	2
textbook	2
therefore	2
thief	2
thought	2
thumb	2
thunder	2
till	2
tiny	2
title	2
tofu	2
toilet	2
tongue	2
toothache	2
toothbrush	2
toward	2
tower	2
trace	2
trade	2
tradition	2
traditional	2
trap	2
travel	2
treasure	2
triangle	2
trousers	2
trumpet	2
trust	2
truth	2
tub	2
tube	2
tunnel	2
turkey	2
underline	2
underpass	2
underwear	2
unique	2
universe	2
university	2
upon	2
upper	2
upstairs	2
usual	2
valley	2
valuable	2
value	2
vendor	2
vest	2
victory	2
village	2
vinegar	2
vocabulary	2
volleyball	2
vote	2
waist	2
war	2
waste	2
waterfall	2
wedding	2
weekday	2
weight	2
whale	2
wheel	2
whole	2
wild	2
wing	2
winner	2
wok	2
wolf	2
women's room	2
wood	2
worm	2
wound	2
wrist	2
yell	2
youth	2

a	1
an	1
few	1
little	1
lot	1
a.m.	1
able	1
about	1
above	1
abroad	1
across	1
act	1
action	1
actor	1
actress	1
actually	1
afraid	1
after	1
afternoon	1
again	1
age	1
ago	1
agree	1
ahead	1
air	1
airplane	1
plane	1
airport	1
all	1
allow	1
almost	1
along	1
already	1
also	1
always	1
America	1
American	1
and	1
angle	1
angry	1
animal	1
another	1
answer	1
ant	1
any	1
anyone	1
anybody	1
anything	1
apartment	1
appear	1
apple	1
April	1
area	1
arm	1
around	1
arrive	1
art	1
as	1
ask	1
at	1
attack	1
August	1
aunt	1
autumn	1
fall	1
away	1
baby	1
back	1
bad	1
badminton	1
bag	1
bake	1
bakery	1
balcony	1
banana	1
band	1
bank	1
baseball	1
basket	1
basketball	1
bat	1
bath	1
bathroom	1
be	1
am	1
is	1
are	1
was	1
were	1
been	1
beach	1
bean	1
bear	1
beautiful	1
because	1
become	1
bed	1
bedroom	1
bee	1
beef	1
before	1
begin	1
behind	1
believe	1
bell	1
belong	1
below	1
belt	1
bench	1
beside	1
between	1
bicycle	1
bike	1
big	1
bird	1
birthday	1
bite	1
black	1
blackboard	1
blank	1
blanket	1
blind	1
block	1
blow	1
blue	1
boat	1
body	1
boil	1
book	1
bookstore	1
bored	1
boring	1
born	1
borrow	1
boss	1
both	1
bottle	1
bottom	1
bow	1
bowl	1
box	1
boy	1
brave	1
bread	1
break	1
breakfast	1
bridge	1
bright	1
bring	1
brother	1
brown	1
brush	1
bug	1
build	1
bun	1
burn	1
bus	1
business	1
businessman	1
busy	1
but	1
butter	1
butterfly	1
button	1
buy	1
by	1
cake	1
call	1
camera	1
camp	1
can	1
could	1
candle	1
candy	1
cap	1
car	1
card	1
care	1
careful	1
carry	1
case	1
castle	1
cat	1
catch	1
celebrate	1
cellphone	1
cent	1
center	1
centimeter	1
chair	1
chalk	1
chance	1
change	1
cheap	1
cheat	1
check	1
cheer	1
cheese	1
chicken	1
child	1
China	1
Chinese	1
chocolate	1
choice	1
choose	1
chopstick	1
Christmas	1
church	1
circle	1
city	1
clap	1
class	1
classmate	1
classroom	1
clean	1
clear	1
clerk	1
climb	1
clock	1
close	1
clothes	1
cloud	1
cloudy	1
club	1
coat	1
coffee	1
cold	1
collect	1
color	1
comb	1
come	1
comfortable	1
comic	1
common	1
computer	1
convenient	1
cook	1
cookie	1
cool	1
copy	1
corner	1
correct	1
cost	1
couch	1
count	1
country	1
course	1
cousin	1
cover	1
cow	1
crazy	1
cross	1
cry	1
cup	1
cut	1
cute	1
dance	1
dangerous	1
dark	1
date	1
daughter	1
day	1
dead	1
deal	1
dear	1
death	1
December	1
decide	1
deep	1
define	1
delicious	1
dentist	1
department store	1
desk	1
dictionary	1
die	1
different	1
difficult	1
dig	1
dining room	1
dinner	1
dirty	1
dish	1
do	1
does	1
did	1
done	1
doctor	1
Dr.	1
dog	1
doll	1
dollar	1
door	1
dot	1
down	1
download	1
dozen	1
draw	1
drawer	1
dream	1
dress	1
drink	1
drive	1
driver	1
drop	1
drum	1
dry	1
duck	1
during	1
each	1
ear	1
early	1
earth	1
earthquake	1
east	1
Easter	1
easy	1
eat	1
egg	1
eight	1
eighteen	1
eighty	1
either	1
elementary school	1
elephant	1
eleven	1
else	1
email	1
end	1
engineer	1
English	1
enjoy	1
enough	1
enter	1
envelope	1
eraser	1
error	1
eve	1
even	1
evening	1
ever	1
every	1
everyone	1
everybody	1
everything	1
example	1
excellent	1
except	1
excited	1
exciting	1
excuse	1
exercise	1
expect	1
expensive	1
experience	1
explain	1
eye	1
face	1
fact	1
factory	1
fail	1
fall	1
family	1
famous	1
fan	1
far	1
farm	1
farmer	1
fast	1
fat	1
father	1
dad	1
daddy	1
favorite	1
February	1
feed	1
feel	1
festival	1
fever	1
fifteen	1
fifty	1
fight	1
file	1
fill	1
finally	1
find	1
fine	1
finger	1
finish	1
fire	1
first	1
fish	1
fisherman	1
five	1
fix	1
floor	1
flower	1
fly	1
follow	1
food	1
fool	1
foot	1
for	1
foreign	1
foreigner	1
forget	1
fork	1
forty	1
four	1
fourteen	1
fox	1
free	1
fresh	1
Friday	1
friend	1
friendly	1
fries	1
French fries	1
frog	1
from	1
front	1
fruit	1
fry	1
full	1
fun	1
funny	1
future	1
game	1
garden	1
garbage	1
gas	1
gate	1
get	1
ghost	1
giant	1
gift	1
girl	1
give	1
glad	1
glass	1
glasses	1
glove	1
glue	1
go	1
goat	1
god	1
good	1
goodbye	1
bye	1
goose	1
grade	1
gram	1
grandfather	1
grandpa	1
grandmother	1
grandma	1
grape	1
grass	1
gray	1
great	1
green	1
ground	1
group	1
grow	1
guava	1
guess	1
guitar	1
guy	1
gym	1
habit	1
hair	1
half	1
Halloween	1
ham	1
hamburger	1
burger	1
hand	1
handsome	1
hang	1
happen	1
happy	1
hard	1
hard-working	1
hat	1
hate	1
have	1
has	1
had	1
he	1
him	1
his	1
himself	1
head	1
headache	1
health	1
healthy	1
hear	1
heart	1
heat	1
heavy	1
height	1
hello	1
help	1
helpful	1
hen	1
here	1
hey	1
hi	1
hide	1
high	1
hike	1
hill	1
history	1
hit	1
hobby	1
hold	1
holiday	1
home	1
homework	1
honest	1
honey	1
hope	1
horse	1
hospital	1
hot	1
hot dog	1
hotel	1
hour	1
house	1
housewife	1
how	1
however	1
hundred	1
hungry	1
hunt	1
hurry	1
hurt	1
husband	1
I	1
me	1
my	1
mine	1
myself	1
ice	1
ice cream	1
idea	1
if	1
important	1
in	1
inch	1
insect	1
inside	1
interest	1
interested	1
interesting	1
Internet	1
Net	1
interview	1
into	1
invite	1
island	1
it	1
its	1
itself	1
item	1
jacket	1
January	1
jeans	1
job	1
jog	1
join	1
joke	1
joy	1
juice	1
July	1
jump	1
June	1
junior high school	1
just	1
keep	1
key	1
kick	1
kid	1
kill	1
kilogram	1
kind	1
king	1
kiss	1
kitchen	1
kite	1
knee	1
knife	1
knock	1
know	1
knowledge	1
lake	1
lamp	1
land	1
language	1
large	1
last	1
late	1
later	1
laugh	1
lawyer	1
lazy	1
lead	1
leader	1
learn	1
least	1
leave	1
left	1
leg	1
lemon	1
lend	1
less	1
lesson	1
let	1
letter	1
level	1
library	1
lie	1
life	1
light	1
like	1
line	1
lion	1
lip	1
list	1
listen	1
little	1
live	1
living room	1
lonely	1
long	1
look	1
lose	1
loud	1
love	1
lovely	1
low	1
lucky	1
lunch	1
machine	1
mad	1
magic	1
mail	1
mailman	1
mail carrier	1
main	1
make	1
man	1
many	1
map	1
March	1
mark	1
marker	1
market	1
married	1
mask	1
math	1
mathematics	1
matter	1
may	1
might	1
May	1
maybe	1
meal	1
mean	1
meat	1
medicine	1
medium	1
meet	1
meeting	1
member	1
menu	1
metro	1
middle	1
mile	1
milk	1
million	1
mind	1
minute	1
Miss	1
miss	1
mistake	1
modern	1
moment	1
Monday	1
money	1
monkey	1
month	1
moon	1
more	1
morning	1
mop	1
most	1
mother	1
mom	1
mommy	1
motorcycle	1
mountain	1
mouse	1
mouth	1
move	1
movie	1
Mr.	1
Mrs.	1
Ms.	1
much	1
mud	1
museum	1
music	1
must	1
nail	1
name	1
national	1
nature	1
near	1
neck	1
need	1
neighbor	1
never	1
new	1
news	1
newspaper	1
next	1
nice	1
night	1
nine	1
nineteen	1
ninety	1
no	1
nobody	1
noise	1
noisy	1
noodle	1
noon	1
north	1
nose	1
not	1
note	1
notebook	1
nothing	1
notice	1
November	1
now	1
number	1
nurse	1
o'clock	1
October	1
of	1
off	1
office	1
officer	1
often	1
oil	1
OK	1
old	1
on	1
once	1
one	1
only	1
open	1
or	1
orange	1
order	1
other	1
out	1
outside	1
over	1
own	1
p.m.	1
pack	1
package	1
page	1
paint	1
pair	1
pants	1
papaya	1
paper	1
parent	1
park	1
part	1
party	1
pass	1
past	1
paste	1
pay	1
PE	1
physical education	1
peach	1
pear	1
pen	1
pencil	1
people	1
perhaps	1
person	1
pet	1
photo	1
piano	1
pick	1
picnic	1
picture	1
pie	1
piece	1
pig	1
pin	1
pink	1
pipe	1
pizza	1
place	1
plan	1
planet	1
plant	1
plate	1
play	1
player	1
playground	1
please	1
pleasure	1
pocket	1
point	1
police	1
polite	1
pond	1
pool	1
poor	1
pop	1
popcorn	1
popular	1
pork	1
possible	1
post office	1
postcard	1
pot	1
pound	1
power	1
probably	1
practice	1
pray	1
prepare	1
present	1
pretty	1
price	1
prize	1
problem	1
program	1
proud	1
public	1
pull	1
pumpkin	1
puppy	1
purple	1
push	1
put	1
quarter	1
queen	1
question	1
quick	1
quiet	1
quite	1
quiz	1
rabbit	1
race	1
radio	1
rain	1
rainbow	1
rainy	1
raise	1
rat	1
reach	1
read	1
ready	1
real	1
really	1
reason	1
red	1
refrigerator	1
fridge	1
relative	1
remember	1
repeat	1
report	1
reporter	1
rest	1
restaurant	1
restroom	1
rice	1
rich	1
ride	1
right	1
ring	1
rise	1
river	1
road	1
robot	1
R.O.C.	1
ROC	1
rock	1
roll	1
room	1
root	1
rope	1
rose	1
round	1
row	1
rule	1
ruler	1
run	1
sad	1
safe	1
sail	1
salad	1
sale	1
salesman	1
salt	1
same	1
sandwich	1
Saturday	1
save	1
say	1
scared	1
school	1
science	1
scooter	1
screen	1
sea	1
season	1
seat	1
second	1
secretary	1
see	1
seed	1
seesaw	1
seldom	1
sell	1
send	1
senior high school	1
sentence	1
September	1
serious	1
service	1
set	1
seven	1
seventeen	1
seventy	1
several	1
shake	1
shape	1
share	1
sharp	1
she	1
her	1
hers	1
herself	1
sheep	1
shine	1
ship	1
shirt	1
shoe	1
shop	1
shopkeeper	1
short	1
shorts	1
should	1
shoulder	1
shout	1
show	1
shower	1
shy	1
sick	1
side	1
sidewalk	1
sight	1
sign	1
simple	1
since	1
sing	1
singer	1
sir	1
sister	1
sit	1
six	1
sixteen	1
sixty	1
size	1
skirt	1
sky	1
sleep	1
slide	1
slim	1
slow	1
small	1
smart	1
smell	1
smile	1
smoke	1
snack	1
snake	1
snow	1
snowy	1
so	1
soccer	1
sock	1
sofa	1
soldier	1
some	1
someone	1
somebody	1
something	1
sometimes	1
somewhere	1
son	1
song	1
soon	1
sore	1
sorry	1
sound	1
soup	1
south	1
space	1
speak	1
special	1
spell	1
spend	1
spider	1
spoon	1
sport	1
spring	1
square	1
stair	1
stamp	1
stand	1
star	1
start	1
station	1
stay	1
steak	1
still	1
stomach	1
stop	1
store	1
story	1
straight	1
strange	1
stranger	1
strawberry	1
street	1
string	1
strong	1
student	1
study	1
stupid	1
subject	1
successful	1
sugar	1
summer	1
sun	1
Sunday	1
sunny	1
supermarket	1
sure	1
surf	1
surprise	1
surprised	1
sweater	1
sweet	1
swim	1
swing	1
table	1
tail	1
Taiwan	1
take	1
talk	1
tall	1
tape	1
taste	1
taxi	1
tea	1
teach	1
teacher	1
team	1
teenager	1
telephone	1
phone	1
television	1
TV	1
tell	1
temple	1
ten	1
tennis	1
terrible	1
test	1
than	1
thank	1
that	1
the	1
theater	1
then	1
there	1
these	1
they	1
them	1
their	1
theirs	1
themselves	1
thick	1
thin	1
thing	1
think	1
third	1
thirsty	1
thirteen	1
thirty	1
this	1
those	1
though	1
although	1
thousand	1
three	1
throat	1
through	1
throw	1
Thursday	1
ticket	1
tidy	1
tie	1
tiger	1
time	1
tip	1
tired	1
to	1
toast	1
today	1
toe	1
together	1
tomato	1
tomorrow	1
tonight	1
too	1
tool	1
tooth	1
top	1
topic	1
total	1
touch	1
towel	1
town	1
toy	1
traffic	1
train	1
trash	1
treat	1
tree	1
trick	1
trip	1
trouble	1
truck	1
true	1
try	1
T-shirt	1
Tuesday	1
turn	1
turtle	1
twelve	1
twenty	1
twice	1
two	1
type	1
typhoon	1
ugly	1
umbrella	1
uncle	1
under	1
understand	1
unhappy	1
uniform	1
until	1
up	1
upload	1
U.S.A.	1
USA	1
use	1
useful	1
usually	1
vacation	1
vegetable	1
very	1
video	1
violin	1
visit	1
visitor	1
voice	1
wait	1
waiter	1
waitress	1
wake	1
walk	1
wall	1
wallet	1
want	1
warm	1
wash	1
watch	1
water	1
watermelon	1
wave	1
way	1
we	1
us	1
our	1
ours	1
ourselves	1
weak	1
wear	1
weather	1
Wednesday	1
week	1
weekend	1
welcome	1
well	1
west	1
wet	1
what	1
when	1
where	1
whether	1
which	1
while	1
white	1
who	1
whose	1
why	1
wide	1
wife	1
will	1
would	1
win	1
wind	1
window	1
windy	1
winter	1
wise	1
wish	1
with	1
without	1
woman	1
wonderful	1
word	1
work	1
workbook	1
worker	1
world	1
worry	1
write	1
writer	1
wrong	1
yard	1
year	1
yellow	1
yes	1
yeah	1
yesterday	1
yet	1
you	1
your	1
yours	1
yourself	1
yourselves	1
young	1
yummy	1
zebra	1
zero	1
zoo	1
